id;barcode;is_reference_only;borrowed;due_date;price;format;status;date_of_purchase;publication_date;modified_date
1;interactive;false;2021-07-18;2021-07-18;92033;AUDIO_BOOK;LOST;2021-07-18;2021-07-18;2021-07-18
2;Peso Loan;true;2021-07-18;2021-07-18;73838;AUDIO_BOOK;LOST;2021-07-18;2021-07-18;2021-07-18
3;magenta Pizza revolutionize;false;2021-07-18;2021-07-18;83269;PAPERBACK;RESERVED;2021-07-18;2021-07-18;2021-07-18
4;IB;true;2021-07-18;2021-07-18;99327;PAPERBACK;RESERVED;2021-07-19;2021-07-18;2021-07-18
5;Car HDD Frozen;true;2021-07-18;2021-07-18;26684;JOURNAL;LOANED;2021-07-19;2021-07-18;2021-07-18
6;Down-sized;false;2021-07-18;2021-07-18;78959;AUDIO_BOOK;RESERVED;2021-07-18;2021-07-18;2021-07-18
7;motivating Georgia Account;false;2021-07-19;2021-07-18;40339;JOURNAL;RESERVED;2021-07-18;2021-07-18;2021-07-18
8;Central;false;2021-07-19;2021-07-18;77719;HARDCOVER;LOST;2021-07-18;2021-07-18;2021-07-18
9;Tunisia Usability Technician;true;2021-07-18;2021-07-18;4767;EBOOK;RESERVED;2021-07-18;2021-07-19;2021-07-18
10;pink 1080p;false;2021-07-18;2021-07-18;29606;NEWSPAPER;LOANED;2021-07-18;2021-07-18;2021-07-18
